"ASV","Taxon","Confidence"
"2ee8fd31913485281d80027a454b4d87","d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__uncultured_Green","0.8764319"
"aec9c701f029439e0469b46c77444771","d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__Nitrospira_japonica","0.9590019"
"173a66096f9d19e30b299ac310ed75aa","d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__Geothrix","0.8139412"
"aba35a011bf1afec0dc82269c0b727a6","d__Bacteria; p__Acidobacteriota; c__Holophagae; o__Holophagales; f__Holophagaceae; g__uncultured; s__uncultured_Acidobacteriaceae","0.8176589"
"601b73027e483a8f9e9183848de218de","d__Bacteria; p__Desulfobacterota; c__Syntrophorhabdia; o__Syntrophorhabdales; f__Syntrophorhabdaceae; g__Syntrophorhabdus; s__uncultured_delta","0.8010518"
"eb31d7c51fd5e330f2e257939fd12600","d__Bacteria; p__Desulfobacterota; c__Syntrophorhabdia; o__Syntrophorhabdales; f__Syntrophorhabdaceae; g__Syntrophorhabdus; s__uncultured_delta","0.9391626"
"c7f2368b6a48002e8cebfdc91323c581","d__Bacteria; p__Nitrospinota; c__P9X2b3D02; o__P9X2b3D02; f__P9X2b3D02; g__P9X2b3D02","0.9977258"
"2d4032d92e31fa95788c4962a5f7e8d1","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9982168"
"ffe9442c880f6cf3165ead39d7c7a79f","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.9961953"
"f31859d218ebd87b661b518bf6a64f6e","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Solibacterales; f__Solibacteraceae; g__Candidatus_Solibacter","0.8607222"
"2988f765aae880909962cbaebe860323","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__GOUTB8; f__GOUTB8; g__GOUTB8; s__uncultured_bacterium","0.9273952"
"7c289a1cc8af627de76f669b0040e7f2","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__GOUTB8; f__GOUTB8; g__GOUTB8","0.9863606"
"2f03351cfbc531773eb15db5b13b5b06","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriae; f__Acidobacteriae; g__Paludibaculum","0.8511456"
"7f77f4777389d7f1bc9fb527719ab0df","d__Bacteria; p__Acidobacteriota; c__Acidobacteriae; o__Acidobacteriales; f__Koribacteraceae; g__Candidatus_Koribacter","0.9244615"
"dcc7f980aa4824aa5b9731c93f0e1652","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02","0.9995712"
"e9dacce3af8752278906bea688fbe14b","d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Hyphomonadaceae; g__SWB02; s__alpha_proteobacterium","0.7990554"
"dd840a2023cdda392979454316b24406","d__Bacteria; p__Fibrobacterota; c__Fibrobacteria; o__Fibrobacterales; f__Fibrobacterales; g__BBMC-4; s__uncultured_bacterium","0.9010790"
"9ff4e2d33858154c94a9186b6a92f88b","d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae","0.9699058"
"49afd68fb4533f07c5f10123f9592b87","d__Bacteria; p__Chloroflexi; c__Gitt-GS-136; o__Gitt-GS-136; f__Gitt-GS-136; g__Gitt-GS-136","0.9986113"
"a9afb12ecc28eab7481ef7d2f7438061","d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96","0.9837958"
"4962b7221ac353db9a6d0002f16bbd53","d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96","0.9998922"
"1740c52b292678bf62a52b45b30160fb","d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96","0.9997900"
"79a2044077aedb941f6d9f627886a75e","d__Bacteria; p__Chloroflexi; c__KD4-96; o__KD4-96; f__KD4-96; g__KD4-96","0.9995210"
"85fe66400382975a6c71f49faf62e51a","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured; s__denitrifying_bacterium","0.9997611"
"776065d8cf92effe19b3dfce14f47937","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15; f__SJA-15; g__SJA-15; s__uncultured_bacterium","0.8082390"
"bdf6463ff6df5c0816f53b49b5ceb0cb","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15; f__SJA-15; g__SJA-15; s__uncultured_bacterium","0.8722219"
"de256f7cd3c79c4ab13f2c27eacfffc5","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured","0.9535487"
"4f3cb1a5ad9471b1fa6d5734a390e0bc","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured","0.9208761"
"d97f599e5841b9312648354d1eb26ff9","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__uncultured","0.9984208"
"c0fd74635d57bac51c44aca8cc66a9e0","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__UTCFX1; s__uncultured_bacterium","0.7052115"
"02145e5cb96ca7a0fcb06a0af6adfe7d","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae","0.9718602"
"b2abe4009ddc86adeef649b4bba0f57c","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae; g__Pelolinea","0.8628458"
"c1eda569bfb917d9308cce729c65ca7d","d__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Anaerolineales; f__Anaerolineaceae","0.8100583"
"2e5c24d370641f5e104affe7766a39a6","d__Bacteria; p__Chloroflexi; c__Anaerolineae","0.9667786"
